feature;feature.descriptive;feature.description
tBodyAcc-mean()-X;time.domain.body.accelerometer.mean.value.x;Mean value of the time domain signals of the body acceleration signal mean value in X direction in standard gravity units 'g'
tBodyAcc-mean()-Y;time.domain.body.accelerometer.mean.value.y;Mean value of the time domain signals of the body acceleration signal mean value in Y direction in standard gravity units 'g'
tBodyAcc-mean()-Z;time.domain.body.accelerometer.mean.value.z;Mean value of the time domain signals of the body acceleration signal mean value in Z direction in standard gravity units 'g'
tBodyAcc-std()-X;time.domain.body.accelerometer.standard.deviation.x;Mean value of the time domain signals of the body acceleration signal standard deviation in X direction in standard gravity units 'g'
tBodyAcc-std()-Y;time.domain.body.accelerometer.standard.deviation.y;Mean value of the time domain signals of the body acceleration signal standard deviation in Y direction in standard gravity units 'g'
tBodyAcc-std()-Z;time.domain.body.accelerometer.standard.deviation.z;Mean value of the time domain signals of the body acceleration signal standard deviation in Z direction in standard gravity units 'g'
tGravityAcc-mean()-X;time.domain.gravity.accelerometer.mean.value.x;Mean value of the time domain signals of the gravity acceleration signal mean value in X direction in standard gravity units 'g'
tGravityAcc-mean()-Y;time.domain.gravity.accelerometer.mean.value.y;Mean value of the time domain signals of the gravity acceleration signal mean value in Y direction in standard gravity units 'g'
tGravityAcc-mean()-Z;time.domain.gravity.accelerometer.mean.value.z;Mean value of the time domain signals of the gravity acceleration signal mean value in Z direction in standard gravity units 'g'
tGravityAcc-std()-X;time.domain.gravity.accelerometer.standard.deviation.x;Mean value of the time domain signals of the gravity acceleration signal standard deviation in X direction in standard gravity units 'g'
tGravityAcc-std()-Y;time.domain.gravity.accelerometer.standard.deviation.y;Mean value of the time domain signals of the gravity acceleration signal standard deviation in Y direction in standard gravity units 'g'
tGravityAcc-std()-Z;time.domain.gravity.accelerometer.standard.deviation.z;Mean value of the time domain signals of the gravity acceleration signal standard deviation in Z direction in standard gravity units 'g'
tBodyAccJerk-mean()-X;time.domain.body.accelerometer.jerk.mean.value.x;Mean value of the time domain signals of the body Jerk acceleration signal mean value in X direction in standard gravity units 'g'
tBodyAccJerk-mean()-Y;time.domain.body.accelerometer.jerk.mean.value.y;Mean value of the time domain signals of the body Jerk acceleration signal mean value in Y direction in standard gravity units 'g'
tBodyAccJerk-mean()-Z;time.domain.body.accelerometer.jerk.mean.value.z;Mean value of the time domain signals of the body Jerk acceleration signal mean value in Z direction in standard gravity units 'g'
tBodyAccJerk-std()-X;time.domain.body.accelerometer.jerk.standard.deviation.x;Mean value of the time domain signals of the body Jerk acceleration signal standard deviation in X direction in standard gravity units 'g'
tBodyAccJerk-std()-Y;time.domain.body.accelerometer.jerk.standard.deviation.y;Mean value of the time domain signals of the body Jerk acceleration signal standard deviation in Y direction in standard gravity units 'g'
tBodyAccJerk-std()-Z;time.domain.body.accelerometer.jerk.standard.deviation.z;Mean value of the time domain signals of the body Jerk acceleration signal standard deviation in Z direction in standard gravity units 'g'
tBodyGyro-mean()-X;time.domain.body.gyro.mean.value.x;Mean value of the time domain signals of the body gyroscope angular velocity vector signal mean value in X direction in radians/second
tBodyGyro-mean()-Y;time.domain.body.gyro.mean.value.y;Mean value of the time domain signals of the body gyroscope angular velocity vector signal mean value in Y direction in radians/second
tBodyGyro-mean()-Z;time.domain.body.gyro.mean.value.z;Mean value of the time domain signals of the body gyroscope angular velocity vector signal mean value in Z direction in radians/second
tBodyGyro-std()-X;time.domain.body.gyro.standard.deviation.x;Mean value of the time domain signals of the body gyroscope angular velocity vector signal standard deviation in X direction in radians/second
tBodyGyro-std()-Y;time.domain.body.gyro.standard.deviation.y;Mean value of the time domain signals of the body gyroscope angular velocity vector signal standard deviation in Y direction in radians/second
tBodyGyro-std()-Z;time.domain.body.gyro.standard.deviation.z;Mean value of the time domain signals of the body gyroscope angular velocity vector signal standard deviation in Z direction in radians/second
tBodyGyroJerk-mean()-X;time.domain.body.gyrojerk.mean.value.x;Mean value of the time domain signals of the body Jerk gyroscope angular velocity vector signal mean value in X direction in radians/second
tBodyGyroJerk-mean()-Y;time.domain.body.gyrojerk.mean.value.y;Mean value of the time domain signals of the body Jerk gyroscope angular velocity vector signal mean value in Y direction in radians/second
tBodyGyroJerk-mean()-Z;time.domain.body.gyrojerk.mean.value.z;Mean value of the time domain signals of the body Jerk gyroscope angular velocity vector signal mean value in Z direction in radians/second
tBodyGyroJerk-std()-X;time.domain.body.gyrojerk.standard.deviation.x;Mean value of the time domain signals of the body Jerk gyroscope angular velocity vector signal standard deviation in X direction in radians/second
tBodyGyroJerk-std()-Y;time.domain.body.gyrojerk.standard.deviation.y;Mean value of the time domain signals of the body Jerk gyroscope angular velocity vector signal standard deviation in Y direction in radians/second
tBodyGyroJerk-std()-Z;time.domain.body.gyrojerk.standard.deviation.z;Mean value of the time domain signals of the body Jerk gyroscope angular velocity vector signal standard deviation in Z direction in radians/second
tBodyAccMag-mean();time.domain.body.accelerometer.magnitude.mean.value;Mean value of the time domain signals of the magnitude of the body acceleration signal mean value in standard gravity units 'g'
tBodyAccMag-std();time.domain.body.accelerometer.magnitude.standard.deviation;Mean value of the time domain signals of the magnitude of the body acceleration signal mean value in standard gravity units 'g'
tGravityAccMag-mean();time.domain.gravity.accelerometer.magnitude.mean.value;Mean value of the time domain signals of the magnitude of the body acceleration signal mean value in standard gravity units 'g'
tGravityAccMag-std();time.domain.gravity.accelerometer.magnitude.standard.deviation;Mean value of the time domain signals of the magnitude of the body acceleration signal standard deviation in standard gravity units 'g'
tBodyAccJerkMag-mean();time.domain.body.accelerometer.jerk.magnitude.mean.value;Mean value of the time domain signals of the magnitude of the body acceleration signal standard deviation in standard gravity units 'g'
tBodyAccJerkMag-std();time.domain.body.accelerometer.jerk.magnitude.standard.deviation;Mean value of the time domain signals of the magnitude of the body acceleration signal standard deviation in standard gravity units 'g'
tBodyGyroMag-mean();time.domain.body.gyromag.mean.value;Mean value of the time domain signals of the magnitude of the body gyroscope angular velocity vector signal mean value in radians/second
tBodyGyroMag-std();time.domain.body.gyromag.standard.deviation;Mean value of the time domain signals of the magnitude of the body gyroscope angular velocity vector signal standard deviation in radians/second
tBodyGyroJerkMag-mean();time.domain.body.gyroscope.jerk.magnitude.mean.value;Mean value of the time domain signals of the magnitude of the body Jerk gyroscope angular velocity vector signal mean value in radians/second
tBodyGyroJerkMag-std();time.domain.body.gyroscope.jerk.magnitude.standard.deviation;Mean value of the time domain signals of the magnitude of the body Jerk gyroscope angular velocity vector signal standard deviation value in radians/second


fBodyAcc-mean()-X;frequency.domain.body.accelerometer.mean.value.x;Mean value of the frequency domain signals of the body acceleration signal mean value in X direction in standard gravity units 'g'
fBodyAcc-mean()-Y;frequency.domain.body.accelerometer.mean.value.y;Mean value of the frequency domain signals of the body acceleration signal mean value in Y direction in standard gravity units 'g'
fBodyAcc-mean()-Z;frequency.domain.body.accelerometer.mean.value.z;Mean value of the frequency domain signals of the body acceleration signal mean value in Z direction in standard gravity units 'g'
fBodyAcc-std()-X;frequency.domain.body.accelerometer.standard.deviation.x;Mean value of the frequency domain signals of the body acceleration signal standard deviation in X direction in standard gravity units 'g'
fBodyAcc-std()-Y;frequency.domain.body.accelerometer.standard.deviation.y;Mean value of the frequency domain signals of the body acceleration signal standard deviation in Y direction in standard gravity units 'g'
fBodyAcc-std()-Z;frequency.domain.body.accelerometer.standard.deviation.z;Mean value of the frequency domain signals of the body acceleration signal standard deviation in Z direction in standard gravity units 'g'
fBodyAcc-meanFreq()-X;frequency.domain.body.accelerometer.mean.value.frequency.x;Mean value of the frequency domain signals of the body acceleration signal frequency mean value in X direction in standard gravity units 'g'
fBodyAcc-meanFreq()-Y;frequency.domain.body.accelerometer.mean.value.frequency.y;Mean value of the frequency domain signals of the body acceleration signal frequency mean value in Y direction in standard gravity units 'g'
fBodyAcc-meanFreq()-Z;frequency.domain.body.accelerometer.mean.value.frequency.z;Mean value of the frequency domain signals of the body acceleration signal frequency mean value in Z direction in standard gravity units 'g'
fBodyAccJerk-mean()-X;frequency.domain.body.accelerometer.jerk.mean.value.x;Mean value of the frequency domain signals of the body Jerk acceleration signal mean value in X direction in standard gravity units 'g'
fBodyAccJerk-mean()-Y;frequency.domain.body.accelerometer.jerk.mean.value.y;Mean value of the frequency domain signals of the body Jerk acceleration signal mean value in Y direction in standard gravity units 'g'
fBodyAccJerk-mean()-Z;frequency.domain.body.accelerometer.jerk.mean.value.z;Mean value of the frequency domain signals of the body Jerk acceleration signal mean value in Z direction in standard gravity units 'g'
