find;replace.with
fbodybodyaccjerkmag;frequency.domain.body.body.accelerometer.jerk.magnitude.
fbodybodygyrojerkmag;frequency.domain.body.body.gyroscope.jerk.magnitude.
fbodybodygyromag;frequency.domain.body.body.gyroscope.magnitude.
fbodyaccmag;frequency.domain.body.accelerometer.magnitude.
fbodygyro;frequency.domain.body.gyroscope.
fbodyaccjerk;frequency.domain.body.accelerometer.jerk.
fbodyacc;frequency.domain.body.accelerometer.
tbodygyrojerkmag;time.domain.body.gyroscope.jerk.magnitude.
tbodyaccjerkmag;time.domain.body.accelerometer.jerk.magnitude.
accjerkma;.accelerometer.jerk.magnitude.
accmag;.accelerometer.magnitude.
accjerk;.accelerometer.jerk.
tgravityacc;time.domain.gravity.accelerometer
tbodyacc;time.domain.body.accelerometer.
gravityacc;.gravity.accelerometer.
-meanfreq;.mean.value.frequency
-mean;.mean.value
-std;.standard.deviation
tgravity;time.domain.gravity
tbody;time.domain.body.
fbody;frequency.domain.body.
-x;.x
-y;.y
-z;.z
\(\);""
\.\.;.

